sample_no,cc_treatment,drying_treatment,pre_post_wet,samp_med_bact,samp_med_fung,samp_ratio
1,no_cc,initial,initial,2.717692301663983e-5,2.0109671839484806e-7,0.007399539612034849
2,w_cc,two_wk,pre,6.772572777908627e-5,6.564448917209599e-7,0.009692696014463063
3,no_cc,all_dry,all_dry,3.594396256818431e-5,4.7889899495749946e-8,0.0013323489140882744
4,w_cc,two_wk,pre,7.96722286744802e-5,9.358151631476941e-7,0.011745813801333325
5,w_cc,two_wk,cw,8.448331433097562e-5,8.633121097238133e-7,0.010218729184104486
6,no_cc,one_wk,post,5.33350853364361e-5,1.0139994973986182e-7,0.001901186603531878
7,no_cc,one_wk,pre,4.103151127840716e-5,9.03575583773508e-8,0.002202150385450255
8,no_cc,one_wk,cw,3.059630016164554e-5,1.2635951405317314e-7,0.004129895228690854
9,w_cc,initial,initial,5.312805611925655e-5,1.796404553719172e-6,0.03381272880917726
10,no_cc,four_wk,post,4.2456580431516146e-5,4.753818098758108e-8,0.0011196893509655523
11,w_cc,one_wk,cw,8.196030968349575e-5,9.81491736096024e-7,0.011975207754658665
12,no_cc,one_wk,post,5.033027913055314e-5,8.237177460803306e-8,0.0016366246329444466
13,no_cc,four_wk,post,4.278077046418268e-5,5.750296708050976e-8,0.001344131170537308
14,w_cc,all_dry,all_dry,7.452744395565119e-5,1.4899523057712674e-6,0.019991995252888167
15,no_cc,initial,initial,1.798531216255977e-5,5.8477330955357973e-8,0.003251393716540039
16,w_cc,four_wk,cw,6.608138611995282e-5,2.479624398040117e-7,0.0037523795180976257
17,w_cc,four_wk,cw,7.49976836734597e-5,2.1643805548543809e-7,0.002885929869885189
18,no_cc,one_wk,post,4.010529704635896e-5,6.897237095453312e-8,0.0017197820745425676
19,no_cc,two_wk,pre,5.2960469609609034e-5,1.404695570746945e-7,0.002652347271656519
20,w_cc,four_wk,cw,1.1432603623063621e-4,4.0451773831184225e-7,0.0035382818441792763
21,no_cc,four_wk,pre,3.6327776642762816e-5,8.022247092540831e-8,0.0022082956442474756
22,w_cc,two_wk,post,1.2724580231558577e-4,1.3783311500297697e-6,0.010832036302551916
24,w_cc,two_wk,cw,8.833031255490664e-5,4.0000812099756415e-7,0.004528548687619743
25,no_cc,two_wk,cw,5.535896785763098e-5,7.578752865098753e-8,0.001369019900188413
26,no_cc,one_wk,cw,4.626748962946581e-5,8.632956597541192e-8,0.001865879620156272
27,w_cc,four_wk,cw,1.0757639177678778e-4,2.318674298135635e-7,0.0021553746689577527
28,no_cc,one_wk,cw,2.894603476959658e-5,7.347508628588735e-8,0.002538347199218519
29,w_cc,initial,initial,7.272286875710739e-5,1.2471892892105762e-7,0.001714989123127359
30,w_cc,one_wk,pre,4.9477170452712635e-5,2.0147756037972536e-7,0.004072131824358989
31,w_cc,one_wk,post,1.9080738709594458e-4,4.150516770965021e-6,0.02175239037720273
34,w_cc,one_wk,pre,4.837276932653602e-5,3.439339839060016e-7,0.0071100742978824774
35,w_cc,four_wk,pre,6.200454007674496e-5,1.7568176050526074e-7,0.002833369303083515
37,w_cc,two_wk,cw,5.972978440353964e-5,1.966182719808984e-7,0.0032917961105054087
38,no_cc,four_wk,cw,3.987364956370651e-5,1.0963835347992776e-7,0.0027496443059408827
41,no_cc,one_wk,post,5.436099288324307e-5,7.911212875614584e-8,0.0014553105923959747
43,no_cc,two_wk,post,4.579053842296948e-5,7.737984445980093e-8,0.0016898653548259133
44,no_cc,all_dry,all_dry,4.391041824091443e-5,3.246015467132797e-8,7.392358344945701e-4
45,w_cc,four_wk,post,1.0631669664277526e-4,7.816163459779759e-7,0.007351774186553327
47,w_cc,two_wk,post,1.6273389436334418e-4,2.694111210676602e-6,0.016555317017494364
48,w_cc,all_dry,all_dry,1.474687812398679e-4,4.140959843380101e-6,0.028080247280572224
49,w_cc,four_wk,post,7.799222975799869e-5,6.720885200088855e-7,0.008617377937447133
50,no_cc,one_wk,post,4.311575485077214e-5,1.4541763644101545e-7,0.003372726209811707
51,no_cc,one_wk,pre,3.2742973334559136e-5,8.485708509509965e-8,0.002591612075911743
52,w_cc,initial,initial,5.635252672951577e-5,8.893531384043093e-7,0.01578195672880969
53,w_cc,four_wk,post,8.703261628102752e-5,8.732948365358248e-7,0.010034109898706983
55,no_cc,all_dry,all_dry,3.990964794498863e-5,9.877135365515841e-8,0.0024748740903779614
56,w_cc,one_wk,pre,7.082187964425872e-5,3.614199756147342e-7,0.0051032248428051034
57,no_cc,all_dry,all_dry,4.237410287448333e-5,8.529652306296414e-8,0.002012939915580553
58,w_cc,all_dry,all_dry,8.56672953635984e-5,1.4034036078155e-6,0.016382023056278627
59,w_cc,one_wk,cw,5.332919073805795e-5,2.423493858224814e-7,0.004544403964666404
60,w_cc,one_wk,cw,7.507632566063305e-5,3.7749342607519875e-7,0.005028128677761609
61,w_cc,one_wk,post,8.863351108303453e-5,1.1176443540271858e-6,0.01260972673168891
62,no_cc,two_wk,cw,2.901282304299588e-5,1.1133498137917552e-7,0.003837440472930931
63,no_cc,all_dry,all_dry,3.964844776622351e-5,7.193752076249661e-8,0.0018143842903171645
64,no_cc,two_wk,cw,3.775871767850914e-5,7.059874814784492e-8,0.0018697337327222613
65,w_cc,two_wk,pre,6.754076793292798e-5,2.3653367762911502e-6,0.035020874779512004
67,w_cc,one_wk,cw,9.748609226082805e-5,2.4733805277163892e-6,0.025371624509255716
68,w_cc,all_dry,all_dry,5.243233206584789e-5,4.151188172627295e-7,0.007917229711266639
69,w_cc,four_wk,pre,8.078368687301749e-5,1.2411012848300864e-6,0.015363266184928556
70,no_cc,four_wk,cw,4.006522863910297e-5,7.012301841523454e-7,0.017502213464668886
73,w_cc,one_wk,cw,7.526973835663298e-5,8.213538991982881e-7,0.010912139687621327
74,no_cc,four_wk,post,6.255157004229384e-5,1.1251659336749336e-7,0.001798781282251045
75,no_cc,four_wk,pre,4.4282527000734597e-5,5.1727129533514106e-8,0.00116811602762995
76,no_cc,initial,initial,4.3274285305493877e-5,2.693291021934865e-7,0.006223767770909757
77,w_cc,two_wk,cw,9.951578874113444e-5,1.6485212746332324e-6,0.016565424396338256
79,w_cc,one_wk,pre,9.118504716939923e-5,7.543072426605773e-7,0.008272269040550709
80,w_cc,four_wk,pre,1.6921818592393836e-4,1.293251952759764e-6,0.007642511623077356
81,no_cc,four_wk,pre,4.6882046594733784e-5,9.113015228406828e-8,0.0019438177064203686
82,no_cc,four_wk,pre,4.3140280312494025e-5,6.958100741886332e-8,0.001612901142849359
83,no_cc,initial,initial,4.492115722858494e-5,5.263927374842262e-8,0.0011718147304301048
84,no_cc,two_wk,pre,3.989090917741465e-5,5.135338706056904e-8,0.0012873456163201263
85,no_cc,two_wk,post,5.863927721107734e-5,4.3353121104601263e-8,7.393188178044524e-4
86,no_cc,one_wk,pre,3.830024831390917e-5,7.111007229781566e-8,0.0018566478137425346
87,w_cc,one_wk,pre,5.581489418680552e-5,4.079087603700823e-7,0.007308242115533935
88,no_cc,four_wk,cw,6.870670360310822e-5,7.00351261387497e-8,0.0010193346859327622
89,no_cc,two_wk,cw,4.085325038659969e-5,3.707473175050197e-8,9.075099630912817e-4
90,no_cc,two_wk,pre,5.417709034001088e-5,6.184834825945117e-8,0.001141595974816959
91,no_cc,two_wk,cw,6.0070744898339936e-5,4.291183258389993e-8,7.143549269535661e-4
93,no_cc,four_wk,post,4.074472901200056e-5,9.76794711084443e-8,0.002397352331872786
94,w_cc,two_wk,post,1.2376214803199917e-4,8.487293726015657e-7,0.006857745975628376
95,w_cc,four_wk,post,1.1180405935417562e-4,9.208005249688435e-7,0.00823584161691222
96,w_cc,one_wk,post,9.031248453907532e-5,1.8179830896285607e-6,0.020129920009475295
99,no_cc,two_wk,post,4.4152598174844964e-5,2.3717461508609898e-8,5.371702343469888e-4
100,w_cc,two_wk,pre,8.630847986674907e-5,2.320002618429838e-7,0.0026880355464627232
101,no_cc,one_wk,pre,3.1791932615298086e-5,6.05244551254741e-8,0.0019037677217631653
103,w_cc,one_wk,post,6.994467073308136e-5,7.018067372393054e-7,0.010033741382778082
104,no_cc,one_wk,cw,3.039069359913314e-5,8.171564883586542e-8,0.0026888379026070094
106,no_cc,four_wk,pre,5.122107573521659e-5,6.71668540415829e-8,0.001311312835146157
107,w_cc,two_wk,cw,5.8178994586394536e-5,3.5695229923798884e-7,0.006135415398214255
108,w_cc,four_wk,post,5.680214218985584e-5,1.6474375129833552e-7,0.0029003087726461965
109,w_cc,one_wk,post,9.270215444384884e-5,1.042156005638046e-6,0.011241982582716524
111,no_cc,four_wk,cw,5.790265901888986e-5,6.106025650179195e-8,0.0010545328580138602
112,w_cc,initial,initial,8.427177594456074e-5,1.166469219660269e-6,0.013841754330983193
114,w_cc,two_wk,post,4.9833092640674214e-5,1.2330289050665593e-7,0.0024743174459538764
116,no_cc,two_wk,post,3.4900962247770845e-5,3.789242054974309e-8,0.0010857127743566244
117,no_cc,two_wk,pre,4.921916836849481e-5,4.816958441496374e-8,9.786753009381826e-4
118,w_cc,four_wk,pre,1.9984543575658883e-4,3.765890578440136e-6,0.018844015947539476
120,w_cc,four_wk,cw,7.738585873323879e-5,2.4027238133036183e-7,0.0031048616021516085
121,no_cc,two_wk,pre,3.0984604818156096e-5,6.500260176310594e-8,0.0020978999778953535
122,no_cc,two_wk,post,2.7212148840549643e-5,6.206151934103131e-8,0.0022806548540022526
123,no_cc,four_wk,cw,3.468209201018142e-5,1.0540748598799441e-7,0.00303924820789503
124,no_cc,one_wk,pre,3.708107960129897e-5,9.34802042764258e-8,0.0025209677086411243
125,w_cc,four_wk,pre,6.404276296744172e-5,6.510827961106496e-7,0.010166375808015174
126,no_cc,four_wk,post,4.577964945430897e-5,6.497259290819711e-8,0.0014192461865188358
128,w_cc,all_dry,all_dry,3.471347972039766e-5,9.62499517510534e-7,0.027726967312498168
129,no_cc,one_wk,cw,3.1393173297055e-5,7.798753744991047e-8,0.002484219633101777
130,no_cc,initial,initial,3.153251922706885e-5,1.0139535246193689e-7,0.0032155804530484464
131,w_cc,two_wk,pre,6.475143281760797e-5,1.5972447680090948e-7,0.0024667327015113604
132,w_cc,two_wk,post,1.3747623462969134e-4,7.520149618887114e-7,0.005470145177559988
133,w_cc,initial,initial,8.213875604832314e-5,1.3750599658899942e-6,0.01674069625647887
