sample_no,cc_treatment,drying_treatment,pre_post_wet,samp_cn_med,samp_n_med,samp_c_med
1,no_cc,initial,initial,20.272539138793945,0.33626866340637207,2.592625141143799
2,w_cc,two_wk,pre,19.495314598083496,0.4535378962755203,3.1437532901763916
3,no_cc,all_dry,all_dry,18.9349422454834,0.3490307033061981,2.741353750228882
4,w_cc,two_wk,pre,19.90881633758545,0.3952345699071884,3.012372136116028
5,w_cc,two_wk,cw,19.413517951965332,0.4260310232639313,2.951898217201233
6,no_cc,one_wk,post,20.667781829833984,0.36584366858005524,2.6367820501327515
7,no_cc,one_wk,pre,19.81257438659668,0.39589183032512665,2.715091109275818
8,no_cc,one_wk,cw,19.939515113830566,0.3855600208044052,2.6454923152923584
9,w_cc,initial,initial,20.48801612854004,0.4375729411840439,3.1673967838287354
10,no_cc,four_wk,post,18.79024028778076,0.33819687366485596,2.6350520849227905
11,w_cc,one_wk,cw,19.58621597290039,0.38820815086364746,2.9652657508850098
12,no_cc,one_wk,post,19.05677318572998,0.3540748357772827,2.561285614967346
13,no_cc,four_wk,post,20.018768310546875,0.3935561776161194,2.77392840385437
14,w_cc,all_dry,all_dry,17.594399452209473,0.3787810802459717,2.7664088010787964
15,no_cc,initial,initial,18.880715370178223,0.399284690618515,2.6147133111953735
16,w_cc,four_wk,cw,18.715431213378906,0.4379572570323944,2.938567280769348
17,w_cc,four_wk,cw,20.610925674438477,0.35367467999458313,2.8022637367248535
18,no_cc,one_wk,post,18.84076690673828,0.36407777667045593,2.6071983575820923
19,no_cc,two_wk,pre,19.297932624816895,0.39986565709114075,2.676087260246277
20,w_cc,four_wk,cw,17.751450538635254,0.3852825313806534,2.839002013206482
21,no_cc,four_wk,pre,18.949517250061035,0.3864099830389023,2.564249277114868
22,w_cc,two_wk,post,19.63606357574463,0.4061266630887985,2.8203516006469727
24,w_cc,two_wk,cw,18.590511322021484,0.4430546760559082,2.916637897491455
25,no_cc,two_wk,cw,19.518805503845215,0.35066530108451843,2.587997555732727
26,no_cc,one_wk,cw,19.090563774108887,0.39929966628551483,2.6429877281188965
27,w_cc,four_wk,cw,17.67085552215576,0.4084513187408447,2.9971861839294434
28,no_cc,one_wk,cw,20.081113815307617,0.33055485785007477,2.5046924352645874
29,w_cc,initial,initial,19.13416290283203,0.41660140454769135,2.7896220684051514
30,w_cc,one_wk,pre,19.03122329711914,0.41491833329200745,3.03691029548645
31,w_cc,one_wk,post,21.247530937194824,0.34537583589553833,2.7800445556640625
34,w_cc,one_wk,pre,19.22084140777588,0.42262740433216095,2.8939809799194336
35,w_cc,four_wk,pre,19.080930709838867,0.4058835953474045,3.2174094915390015
37,w_cc,two_wk,cw,20.510730743408203,0.37764181196689606,2.95230233669281
38,no_cc,four_wk,cw,19.16439914703369,0.3915092945098877,2.635056495666504
41,no_cc,one_wk,post,19.426098823547363,0.3556640297174454,2.6237125396728516
43,no_cc,two_wk,post,19.313541412353516,0.39195922017097473,2.658811569213867
44,no_cc,all_dry,all_dry,19.731240272521973,0.3912559151649475,2.7119200229644775
45,w_cc,four_wk,post,19.370262145996094,0.4346860498189926,3.0155138969421387
47,w_cc,two_wk,post,18.950328826904297,0.41697201132774353,2.808170437812805
48,w_cc,all_dry,all_dry,18.332072257995605,0.3811613619327545,2.900720477104187
49,w_cc,four_wk,post,18.217843055725098,0.3997917175292969,3.023240804672241
50,no_cc,one_wk,post,19.94463539123535,0.38086359202861786,2.6638777256011963
51,no_cc,one_wk,pre,19.418487548828125,0.38871143758296967,2.6017065048217773
52,w_cc,initial,initial,19.875876426696777,0.37772199511528015,2.739198684692383
53,w_cc,four_wk,post,19.00233745574951,0.3700857311487198,2.917972207069397
55,no_cc,all_dry,all_dry,21.024871826171875,0.32520928978919983,2.567014455795288
56,w_cc,one_wk,pre,20.079750061035156,0.4111221134662628,2.935263514518738
57,no_cc,all_dry,all_dry,19.12173366546631,0.33322960138320923,2.6419994831085205
58,w_cc,all_dry,all_dry,19.601807594299316,0.4187353104352951,2.9144203662872314
59,w_cc,one_wk,cw,18.96147918701172,0.3695509433746338,2.668588876724243
60,w_cc,one_wk,cw,21.05971908569336,0.37455375492572784,2.8671282529830933
61,w_cc,one_wk,post,19.592632293701172,0.4067782163619995,2.9304291009902954
62,no_cc,two_wk,cw,19.799796104431152,0.33858393132686615,2.5348249673843384
63,no_cc,all_dry,all_dry,19.213529586791992,0.33213579654693604,2.6454354524612427
64,no_cc,two_wk,cw,21.201570510864258,0.3276243805885315,2.608559012413025
65,w_cc,two_wk,pre,20.236000061035156,0.3537839204072952,2.815058708190918
67,w_cc,one_wk,cw,18.170344352722168,0.4289805293083191,3.002520799636841
68,w_cc,all_dry,all_dry,18.57209300994873,0.3747860938310623,2.888139009475708
69,w_cc,four_wk,pre,19.449172973632812,0.3803047239780426,3.070957660675049
70,no_cc,four_wk,cw,18.773327827453613,0.3413771837949753,2.657868981361389
73,w_cc,one_wk,cw,22.286579132080078,0.3366929739713669,2.8400481939315796
74,no_cc,four_wk,post,19.72533130645752,0.35437728464603424,2.6100226640701294
75,no_cc,four_wk,pre,19.92599105834961,0.3742047995328903,2.594801664352417
76,no_cc,initial,initial,18.61022186279297,0.3730440139770508,2.52570378780365
77,w_cc,two_wk,cw,19.428401947021484,0.4043120741844177,2.7803205251693726
79,w_cc,one_wk,pre,19.647528648376465,0.4131641685962677,2.989770531654358
80,w_cc,four_wk,pre,21.30477809906006,0.3443557918071747,2.770520806312561
81,no_cc,four_wk,pre,20.312044143676758,0.40292881429195404,2.8927509784698486
82,no_cc,four_wk,pre,19.930285453796387,0.37647412717342377,2.6163893938064575
83,no_cc,initial,initial,21.03441333770752,0.370235875248909,2.7234039306640625
84,no_cc,two_wk,pre,21.459860801696777,0.3187381327152252,2.5622856616973877
85,no_cc,two_wk,post,19.299396514892578,0.3788134753704071,2.551612377166748
86,no_cc,one_wk,pre,20.034871101379395,0.3750257194042206,2.6294631958007812
87,w_cc,one_wk,pre,19.121697425842285,0.40226060152053833,2.824216842651367
88,no_cc,four_wk,cw,19.270472526550293,0.3893715888261795,2.6318228244781494
89,no_cc,two_wk,cw,19.362391471862793,0.3294191211462021,2.4026299715042114
90,no_cc,two_wk,pre,20.76654624938965,0.31801068782806396,2.4785906076431274
91,no_cc,two_wk,cw,19.843934059143066,0.36444827914237976,2.645343065261841
93,no_cc,four_wk,post,18.705169677734375,0.34281831979751587,2.6593390703201294
94,w_cc,two_wk,post,21.718597412109375,0.34920650720596313,2.86732280254364
95,w_cc,four_wk,post,18.188969612121582,0.36665499210357666,2.7681835889816284
96,w_cc,one_wk,post,18.76168727874756,0.38721776008605957,2.7789618968963623
99,no_cc,two_wk,post,21.735258102416992,0.3289652615785599,2.686915397644043
100,w_cc,two_wk,pre,19.64415168762207,0.3984217196702957,2.8697532415390015
101,no_cc,one_wk,pre,19.140792846679688,0.36945614218711853,2.6937698125839233
103,w_cc,one_wk,post,19.12393856048584,0.40620487928390503,2.9835580587387085
104,no_cc,one_wk,cw,19.67454242706299,0.3498062938451767,2.60326087474823
106,no_cc,four_wk,pre,18.736262321472168,0.3892778307199478,2.5583555698394775
107,w_cc,two_wk,cw,21.723048210144043,0.3439124971628189,2.8217177391052246
108,w_cc,four_wk,post,18.540061950683594,0.36958301067352295,2.8429644107818604
109,w_cc,one_wk,post,19.414825439453125,0.41027969121932983,2.825429677963257
111,no_cc,four_wk,cw,19.285362243652344,0.39276643097400665,2.6604429483413696
112,w_cc,initial,initial,19.00687026977539,0.3995620012283325,2.7845550775527954
114,w_cc,two_wk,post,21.46193504333496,0.33832667768001556,2.7368414402008057
116,no_cc,two_wk,post,22.06435775756836,0.31526675820350647,2.6029627323150635
117,no_cc,two_wk,pre,21.38802433013916,0.3161208778619766,2.5416054725646973
118,w_cc,four_wk,pre,22.784823417663574,0.34939034283161163,3.0094205141067505
120,w_cc,four_wk,cw,18.61096954345703,0.3719526380300522,2.8725388050079346
121,no_cc,two_wk,pre,22.356860160827637,0.3257663995027542,2.733578681945801
122,no_cc,two_wk,post,21.871705055236816,0.3108992427587509,2.53964364528656
123,no_cc,four_wk,cw,18.69239044189453,0.386679083108902,2.5316598415374756
124,no_cc,one_wk,pre,18.672715187072754,0.36354291439056396,2.5819449424743652
125,w_cc,four_wk,pre,18.78909969329834,0.3619910180568695,2.821501612663269
126,no_cc,four_wk,post,19.39323902130127,0.3432445824146271,2.7597731351852417
128,w_cc,all_dry,all_dry,19.45892333984375,0.3805249333381653,2.718220829963684
129,no_cc,one_wk,cw,19.259629249572754,0.3724679946899414,2.5035271644592285
130,no_cc,initial,initial,19.155129432678223,0.3493950217962265,2.5375250577926636
131,w_cc,two_wk,pre,22.288371086120605,0.3180200308561325,2.653913378715515
132,w_cc,two_wk,post,22.30818748474121,0.3405917286872864,2.8665167093276978
133,w_cc,initial,initial,20.21240234375,0.40346893668174744,2.892309069633484
