026L1;0;;0.023;mg/L;-0.0055;06/24/2022 12:23:33 PM;WNHR;1
026L2;0;;0.055;mg/L;-0.0042;06/24/2022 12:23:51 PM;WNHR;1
026L3;0;;0.001;mg/L;-0.0064;06/24/2022 12:25:21 PM;WNHR;1
028L1;0;;0.040;mg/L;-0.0048;06/24/2022 12:25:39 PM;WNHR;1
028L2;0;;0.096;mg/L;-0.0025;06/24/2022 12:27:09 PM;WNHR;1
028L3;0;;0.391;mg/L;0.0097;06/24/2022 12:27:27 PM;WNHR;1
030L1;0;;1.336;mg/L;0.0487;06/24/2022 12:28:57 PM;WNHR;1
030L2;0;;1.348;mg/L;0.0492;06/24/2022 12:29:15 PM;WNHR;1
030L3;0;;1.360;mg/L;0.0497;06/24/2022 12:30:45 PM;WNHR;1
034L1;0;;1.367;mg/L;0.0500;06/24/2022 12:31:03 PM;WNHR;1
034L2;0;;1.280;mg/L;0.0464;06/24/2022 12:32:33 PM;WNHR;1
034L3;0;;1.285;mg/L;0.0466;06/24/2022 12:32:51 PM;WNHR;1
051L1;0;;0.069;mg/L;-0.0036;06/24/2022 12:34:21 PM;WNHR;1
051L2;0;;0.149;mg/L;-0.0003;06/24/2022 12:34:39 PM;WNHR;1
051L3;0;;0.106;mg/L;-0.0021;06/24/2022 12:36:09 PM;WNHR;1
056L1;0;;1.079;mg/L;0.0381;06/24/2022 1:26:35 PM;WNHR;1
056L1;0;;-9999;mg/L;-9999;06/24/2022 12:36:27 PM;WNHR;1
056L2;0;;1.077;mg/L;0.0380;06/24/2022 12:37:57 PM;WNHR;1
056L3;0;;0.994;mg/L;0.0346;06/24/2022 12:38:15 PM;WNHR;1
059L1;0;;1.312;mg/L;0.0477;06/24/2022 12:39:45 PM;WNHR;1
059L2;0;;1.312;mg/L;0.0477;06/24/2022 12:40:03 PM;WNHR;1
059L3;0;;1.157;mg/L;0.0413;06/24/2022 12:41:33 PM;WNHR;1
060L1;0;;1.147;mg/L;0.0409;06/24/2022 12:41:51 PM;WNHR;1
060L2;0;;1.234;mg/L;0.0445;06/24/2022 12:43:21 PM;WNHR;1
060L3;0;;1.149;mg/L;0.0410;06/24/2022 12:43:39 PM;WNHR;1
067L1;0;;5.370;mg/L;0.2153;06/24/2022 12:45:10 PM;WNHR;1
067L2;0;;5.370;mg/L;0.2153;06/24/2022 12:45:28 PM;WNHR;1
067L3;0;;5.358;mg/L;0.2148;06/24/2022 12:46:58 PM;WNHR;1
073L1;0;;2.004;mg/L;0.0763;06/24/2022 12:47:16 PM;WNHR;1
073L2;0;;1.861;mg/L;0.0704;06/24/2022 12:48:46 PM;WNHR;1
073L3;0;;2.096;mg/L;0.0801;06/24/2022 12:49:04 PM;WNHR;1
079L1;0;;0.571;mg/L;0.0171;06/24/2022 12:50:34 PM;WNHR;1
079L2;0;;0.541;mg/L;0.0159;06/24/2022 12:50:52 PM;WNHR;1
079L3;0;;0.590;mg/L;0.0179;06/24/2022 12:52:22 PM;WNHR;1
086L1;0;;0.101;mg/L;-0.0023;06/24/2022 12:52:40 PM;WNHR;1
086L2;0;;0.200;mg/L;0.0018;06/24/2022 12:54:10 PM;WNHR;1
086L3;0;;0.113;mg/L;-0.0018;06/24/2022 12:54:28 PM;WNHR;1
087L1;0;;0.902;mg/L;0.0308;06/24/2022 12:55:58 PM;WNHR;1
087L2;0;;0.837;mg/L;0.0281;06/24/2022 12:56:16 PM;WNHR;1
087L3;0;;0.822;mg/L;0.0275;06/24/2022 12:57:46 PM;WNHR;1
101L1;0;;0.171;mg/L;0.0006;06/24/2022 12:58:04 PM;WNHR;1
101L2;0;;0.081;mg/L;-0.0031;06/24/2022 12:59:34 PM;WNHR;1
101L3;0;;0.127;mg/L;-0.0012;06/24/2022 12:59:52 PM;WNHR;1
104L1;0;;0.137;mg/L;-0.0008;06/24/2022 1:01:22 PM;WNHR;1
104L2;0;;4.200;mg/L;0.1670;06/24/2022 1:01:40 PM;WNHR;1
104L3;0;;0.077;mg/L;-0.0033;06/24/2022 1:03:10 PM;WNHR;1
124L1;0;;0.072;mg/L;-0.0035;06/24/2022 1:03:28 PM;WNHR;1
124L2;0;;0.101;mg/L;-0.0023;06/24/2022 1:04:58 PM;WNHR;1
124L3;0;;0.142;mg/L;-0.0006;06/24/2022 1:05:16 PM;WNHR;1
129L1;0;;0.173;mg/L;0.0007;06/24/2022 1:06:46 PM;WNHR;1
129L2;0;;0.050;mg/L;-0.0044;06/24/2022 1:07:04 PM;WNHR;1
129L3;0;;0.132;mg/L;-0.0010;06/24/2022 1:08:34 PM;WNHR;1
Blank1AL01;0;;0.123;mg/L;-0.0014;06/24/2022 1:08:52 PM;WNHR;1
Blank1AL02;0;;0.217;mg/L;0.0025;06/24/2022 1:10:22 PM;WNHR;1
Blank1AL03;0;;0.169;mg/L;0.0005;06/24/2022 1:10:40 PM;WNHR;1
Blank1BL01;0;;0.101;mg/L;-0.0023;06/24/2022 1:12:10 PM;WNHR;1
Blank1BL02;0;;0.113;mg/L;-0.0018;06/24/2022 1:12:28 PM;WNHR;1
Blank1BL03;0;;0.215;mg/L;0.0024;06/24/2022 1:13:59 PM;WNHR;1
007E1;0;;0.333;mg/L;0.0073;06/24/2022 1:14:17 PM;WNHR;1
007E2;0;;0.382;mg/L;0.0093;06/24/2022 1:15:47 PM;WNHR;1
007E3;0;;0.384;mg/L;0.0094;06/24/2022 1:16:05 PM;WNHR;1
008E1;0;;0.309;mg/L;0.0063;06/24/2022 1:17:35 PM;WNHR;1
008E2;0;;0.326;mg/L;0.0070;06/24/2022 1:17:53 PM;WNHR;1
008E3;0;;0.280;mg/L;0.0051;06/24/2022 1:19:23 PM;WNHR;1
011E1;0;;1.413;mg/L;0.0519;06/24/2022 1:19:41 PM;WNHR;1
011E2;0;;1.367;mg/L;0.0500;06/24/2022 1:21:11 PM;WNHR;1
011E3;0;;1.382;mg/L;0.0506;06/24/2022 1:21:29 PM;WNHR;1
026E1;0;;0.408;mg/L;0.0104;06/24/2022 1:22:59 PM;WNHR;1
026E2;0;;0.304;mg/L;0.0061;06/24/2022 1:23:17 PM;WNHR;1
026E3;0;;0.307;mg/L;0.0062;06/24/2022 1:24:47 PM;WNHR;1
028E1;0;;0.270;mg/L;0.0047;06/24/2022 1:25:05 PM;WNHR;1
028E2;0;;0.287;mg/L;0.0054;06/24/2022 1:26:53 PM;WNHR;1
028E3;0;;0.294;mg/L;0.0057;06/24/2022 1:28:23 PM;WNHR;1
030E1;0;;2.222;mg/L;0.0853;06/24/2022 1:28:41 PM;WNHR;1
030E2;0;;2.164;mg/L;0.0829;06/24/2022 1:30:11 PM;WNHR;1
030E3;0;;2.256;mg/L;0.0867;06/24/2022 1:30:29 PM;WNHR;1
