sample_no,n_extraction_soil_mass,n_leachate_glassware_pre,n_leachate_soil_mass_pre,n_leachate_water_volume_leached,n_leachate_soil_glassware_post,n_leachate_soil_mass_post,water_absorbed_soil,water_leachate
1,4.946,240.34,14.99,,260.59,20.25,5.26,19.74
9,4.917,220.89,14.98,,244.12,23.23,8.25,16.75
15,5.069,204.27,15.04,,225.14,20.87,5.83,19.17
29,4.994,199.15,15.04,,221.64,22.49,7.45,17.55
52,5.054,196.56,15.09,,216.96,20.4,5.31,19.69
76,5.088,185.39,15.05,,206.01,20.62,5.57,19.43
83,5.008,207.72,15.07,,228.45,20.73,5.66,19.34
112,4.972,242.16,15.05,,262.07,19.91,4.86,20.14
130,4.979,209.5,14.99,,229.64,20.14,5.15,19.85
133,4.979,193.96,14.98,,215.32,21.36,6.38,18.62