sample_no,jar_soil_mass,cn_soil_mass,n_extraction_soil_mass,n_leachate_glassware_pre,n_leachate_soil_mass_pre,n_leachate_soil_glassware_post,n_leachate_soil_mass_post,water_absorbed_soil,water_leachate
2,532.84,,5.006,208.04,15.01,232.21,24.17,9.16,15.84
4,530.05,,5.048,213.1,15,236.98,23.88,8.88,16.12
5,527.4,,5.021,236.9,14.94,260.43,23.53,8.59,16.41
19,522.36,,5.037,208.81,15,233.8,24.99,9.99,15.01
24,529.37,,4.968,198.19,15.05,219.39,21.2,6.15,18.85
25,503.36,,5.033,225.27,15.06,244.79,19.52,4.46,20.54
37,512.68,,5.021,210.47,15.06,230.76,20.29,5.23,19.77
62,519.95,,5.058,202.99,15.03,222.9,19.91,4.88,20.12
64,520.9,,5.014,228.6,14.99,248.73,20.13,5.14,19.86
65,531.58,,5.007,214.3,14.97,240.37,26.07,11.1,13.9
77,537.61,,4.98,180.41,15.04,200.64,20.23,5.19,19.81
84,518.21,,4.981,218.94,15.03,243.89,24.95,9.92,15.08
89,500.11,,4.994,206.49,14.99,226.65,20.16,5.17,19.83
90,521.31,,5.043,190.6,14.99,215.52,24.92,9.93,15.07
91,518.7,,5.035,208.69,14.99,229.26,20.57,5.58,19.42
100,531.03,,5.001,205.58,15.03,230.37,24.79,9.76,15.24
107,529.11,,5.041,205.71,15.05,226.72,21.01,5.96,19.04
117,520.03,,5.003,243.62,15.01,268.14,24.52,9.51,15.49
121,518.4,,4.996,207.07,15.01,231.48,24.41,9.4,15.6
131,529.27,,5.039,197.38,15.06,222.01,24.63,9.57,15.43