sample_no,extraction_date,extraction_soil_wt_mg,qubit_concentration,,al_pan_wt,fresh_soil_mg,dry_soil_al_pan,dry_soil_only,notes
055,20220912,246,68.6,,1.851,246,2.094,243,
057,20220912,249,64,,1.89,249,2.137,247,
058,20220912,250,94.9,,1.851,250,2.098,247,
063,20220912,250,61.4,,1.858,250,2.104,246,
068,20220912,250,85.5,,,,,,
074,20220912,249,60.9,,1.877,249,2.088,211,
078,20220912,250,too low,,,,,,
093,20220912,249,51.4,,1.872,249,2.082,210,
095,20220912,249,88.1,,1.875,249,2.08,205,
097,20220912,249,too low,,,,,,
108,20220912,250,79.9,,1.88,250,2.085,205,
119,20220912,249,too low,,,,,,
126,20220912,249,58.2,,1.843,249,2.051,208,
128,20220912,248,97.1,,1.839,248,2.084,245,
003,20220624,250,60.2,,1.861,250,2.107,246,
010,20220624,249,55.7,,1.859,249,2.067,208,
013,20220624,249,54.4,,1.853,249,2.063,210,
014,20220624,249,98.5,,1.86,249,2.107,247,
032,20220624,248,too low,,,,,,water
042,20220624,247,too low,,,,,,water
044,20220624,249,53.4,,1.861,249,2.107,246,
045,20220624,248,106,,1.847,248,2.044,197,
048,20220624,246,122,,1.872,246,2.115,243,
049,20220624,250,87.0,,1.839,250,2.041,202,
053,20220624,249,94.1,,1.844,249,2.047,203,
069,20220624,248,91.2,,1.851,248,2.094,243,
070,20220624,248,56.3,,1.856,248,2.068,212,
075,20220624,248,52.0,,1.863,248,2.106,243,
080,20220624,248,96.4,,1.834,248,2.078,244,
081,20220624,249,52.8,,1.836,249,2.082,246,
082,20220624,248,51.9,,1.871,248,2.117,246,
088,20220624,249,50.1,,1.853,249,2.064,211,
106,20220624,248,49.4,,1.84,248,2.083,243,
111,20220624,250,51.6,,1.862,250,2.074,212,
118,20220624,248,127,,1.868,248,2.112,244,
120,20220624,250,90.1,,1.857,250,2.062,205,
123,20220624,248,52.4,,1.854,248,2.063,209,
125,20220624,250,85.2,,1.859,250,2.105,246,
016,20220615,250,99.7,,1.848,250,2.052,204,
017,20220615,250,83.6,,1.849,250,2.049,200,
020,20220615,250,120,,1.849,250,2.041,192,
021,20220615,248,54.7,,1.849,248,2.093,244,"elution column fell out and touched table in step 16, before adding CD6 solution"
022,20220615,248,119,,1.86,248,2.062,202,
027,20220615,248,108,,1.9,248,2.089,189,
035,20220615,250,83.3,,1.893,250,2.142,249,
038,20220615,249,52.9,,1.869,249,2.079,210,
043,20220615,248,53,,1.873,248,2.079,206,
047,20220615,249,128,,1.885,249,2.082,197,
085,20220615,248,53.8,,1.846,248,2.055,209,
090,20220615,250,62.4,,1.86,250,2.108,248,
091,20220615,248,57.9,,1.877,248,2.093,216,
094,20220615,248,99.3,,1.897,248,2.094,197,
099,20220615,249,48.6,,1.9,249,2.109,209,
100,20220615,250,81.1,,1.854,250,2.102,248,
107,20220615,247,82.8,,1.857,247,2.058,201,
114,20220615,248,75.5,,1.911,248,2.129,218,
116,20220615,249,54.3,,1.9,249,2.113,213,
117,20220615,250,65.5,,1.86,250,2.109,249,
121,20220615,250,61.2,,1.887,250,2.134,247,spilled final DNA :'(
122,20220615,248,60.3,,1.923,248,2.132,209,
131,20220615,250,80.2,,1.897,250,2.142,245,
132,20220615,248,106,,1.894,248,2.102,208,
002,20220613,249,76.2,,1.873,249,2.11,237,
004,20220613,248,101,,1.865,248,2.102,237,
005,20220613,248,131,,1.87,248,2.102,232,
006,20220613,250,48.8,,1.856,250,2.063,207,
012,20220613,248,51.8,,1.867,248,2.078,211,
018,20220613,248,44.1,,1.858,248,2.064,206,
019,20220613,248,52.1,,1.882,248,2.045,163,
024,20220613,247,96.4,,1.88,247,2.077,197,
025,20220613,249,52.3,,1.864,249,2.078,214,
031,20220613,249,142,,1.876,249,2.069,193,
037,20220613,247,76.8,,1.855,247,2.054,199,
041,20220613,249,53.2,,1.881,249,2.091,210,
050,20220613,247,49.7,,1.87,247,2.08,210,
061,20220613,249,79.6,,1.862,249,2.068,206,
062,20220613,247,45.8,,1.871,247,2.081,210,
064,20220613,250,49.3,,1.864,250,2.078,214,
065,20220613,250,91.8,,1.885,250,2.131,246,
077,20220613,246,171,,1.87,246,2.069,199,
084,20220613,247,58.8,,1.876,247,2.106,230,
089,20220613,247,50.8,,1.895,247,2.106,211,
096,20220613,250,110,,1.867,250,2.066,199,
103,20220613,247,81.8,,1.837,247,2.04,203,
109,20220613,248,85.0,,1.86,248,2.063,203,
bacteria-control,20220613,38,240,,,,,,agar + bacteria
007,20220610,247,53.5,,1.861,247,2.099,238,
008,20220610,249,49.0,,1.859,249,2.074,215,
011,20220610,247,91.9,,1.881,247,2.08,199,
026,20220610,249,53.2,,1.866,249,2.083,217,
028,20220610,249,49.5,,1.847,249,2.065,218,
030,20220610,249,66.6,,1.871,249,2.09,219,
034,20220610,249,63.0,,1.86,249,2.084,224,
051,20220610,245,53.3,,1.864,245,2.098,234,
056,20220610,248,69.2,,1.841,248,2.065,224,
059,20220610,248,59.4,,1.876,248,2.075,199,
060,20220610,246,75.6,,1.857,246,2.061,204,
067,20220610,249,89.9,,1.859,249,2.059,200,
073,20220610,250,87.2,,1.864,250,2.069,205,
079,20220610,250,72.2,,1.878,250,2.109,231,
083,20220610,246,46.2,,1.869,246,2.081,212,
086,20220610,247,55.6,,1.877,247,2.125,248,
087,20220610,247,74.9,,1.855,247,2.078,223,
101,20220610,250,43.1,,1.862,250,2.103,241,"Qubit may be questionable, used mix of WS 1 + 2 with WS 2 standards"
104,20220610,247,50.8,,1.854,247,2.066,212,
112,20220610,248,70.1,,1.872,248,2.078,206,
124,20220610,249,58.5,,1.845,249,2.084,239,
129,20220610,247,53.4,,1.853,247,,,
130,20220610,249,50.7,,1.878,249,2.091,213,
133,20220610,248,85.2,,1.869,248,2.076,207,
001,20220603,243,50.3,,1.855,243,2.062,207,
009,20220603,250,53.8,,1.863,250,2.067,204,
015,20220603,248,33.8,,1.88,248,2.091,211,
029,20220603,248,63.6,,1.867,248,2.071,204,
052,20220603,247,64.4,,1.846,247,2.048,202,
076,20220603,246,58.1,,1.844,246,2.053,209,